ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
14820-20200516,2808440,51551,2,"R & V, INC.",RUNAROUND SUE,9 W DIVISION ST  1,CHICAGO,IL,60610,2,36,18,1050,Public Place of Amusement,14820,RENEW,,08/31/2021,08/31/2021,N,05/16/2020,05/15/2022,08/31/2021,08/31/2021,AAI,,,41.903825309,-87.629076389,"(41.9038253091784, -87.62907638861904)"
25566-20180216,2571235,52875,2,DELBA INC,BLUE CHICAGO,536 N CLARK ST 1ST,CHICAGO,IL,60610,42,46,18,1472,Music and Dance,25566,RENEW,,12/15/2017,01/22/2018,N,02/16/2018,02/15/2020,01/22/2018,01/23/2018,AAI,,,41.891887674,-87.631280776,"(41.89188767439628, -87.63128077636969)"
2451780-20180404,2451780,404342,1,VENUS CABARET LLC,VENUS DINNER THEATER,3741 N SOUTHPORT AVE 1ST,CHICAGO,IL,60613,44,25,19,1050,Public Place of Amusement,2451780,ISSUE,02/24/2016,04/07/2016,04/07/2016,Y,04/04/2018,04/15/2020,04/04/2018,04/04/2018,AAI,,27,41.950075931,-87.663953259,"(41.95007593145458, -87.66395325868989)"
2560317-20181019,2560317,421949,1,"XSCAPE LEISURE, LLC",ESCAPE REALITY,158 W ERIE ST 1-3,CHICAGO,IL,60654,42,46,18,1050,Public Place of Amusement,2560317,ISSUE,09/29/2017,10/03/2017,10/03/2017,Y,10/19/2018,07/15/2021,10/19/2018,10/19/2018,AAI,,,41.894108245,-87.633532208,"(41.89410824547626, -87.63353220823814)"
22151-20190716,2666535,86480,1,RIVIERA PRODUCTIONS INC,RIVIERA PRODUCTIONS INC,4746 N RACINE AVE  1,CHICAGO,IL,60640,46,35,19,1050,Public Place of Amusement,22151,RENEW,,05/15/2019,06/27/2019,N,07/16/2019,07/15/2021,07/15/2019,07/16/2019,AAI,,34,41.968579835,-87.65981554,"(41.96857983548429, -87.65981554013685)"
2948834-20240227,2948834,500729,1,Lemon Chicago LLC,Lemon Chicago,1600 W GRAND AVE,CHICAGO,IL,60622,1,33,12,1050,Public Place of Amusement,2948834,ISSUE,01/11/2024,01/11/2024,01/11/2024,N,02/27/2024,03/15/2026,02/27/2024,02/27/2024,AAI,,,41.891087112,-87.667204058,"(41.89108711220122, -87.6672040584081)"
2137311-20221116,2869572,86301,5,"WHERE'S THE DUKE, INC.",JOE'S BAR,940 W WEED ST 1ST&MEZZ,CHICAGO,IL,60642,27,46,18,1050,Public Place of Amusement,2137311,RENEW,,09/15/2022,09/15/2022,N,11/16/2022,11/15/2024,11/15/2022,03/27/2023,AAI,,,41.90989553,-87.652772439,"(41.9098955303975, -87.65277243899028)"
2803461-20210915,2803461,34915,2,"MARX-SAUNDERS GALLERY, LTD.",Neon and Light Museum,325 W HURON ST 1,CHICAGO,IL,60654,42,39,18,1050,Public Place of Amusement,2803461,ISSUE,08/05/2021,08/05/2021,08/05/2021,N,09/15/2021,10/15/2023,09/15/2021,09/15/2021,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
2348999-20190316,2645270,391999,1,ESO THEATER,EVERYBODY SHOW OUT BOUTIQUE THEATER,5401-5403 W MADISON ST 1ST,CHICAGO,IL,60644,29,10,15,1050,Public Place of Amusement,2348999,RENEW,,01/15/2019,06/24/2020,N,03/16/2019,03/15/2021,,03/07/2021,AAI,,,41.880197352,-87.760188068,"(41.88019735202294, -87.76018806764772)"
2483397-20210716,2789349,379857,4,PREMIER CATERING & EVENTS LLC,PREMIER CATERING & EVENTS,500 W JACKSON BLVD 1ST,CHICAGO,IL,60661,34,12,1,1050,Public Place of Amusement,2483397,RENEW,,05/15/2021,07/12/2021,N,07/16/2021,07/15/2023,07/14/2021,07/15/2021,AAI,,,41.878153523,-87.639638623,"(41.87815352261035, -87.63963862300314)"
258-20130416,2235078,41,1,"GEJA'S INTERNATIONAL FOODS, INC.",GEJA'S CAFE,340-344 W ARMITAGE AVE LOWER LEVEL,CHICAGO,IL,60614,43,17,18,1472,Music and Dance,258,RENEW,,02/27/2013,03/12/2013,N,04/16/2013,04/15/2015,03/12/2013,03/13/2013,AAI,,,41.918445336,-87.638007427,"(41.918445336371185, -87.63800742700411)"
32815-20160616,2459165,14590,1,MATSUI-JONES CORPORATION,FULL SHILLING,3724-3726 N CLARK ST,CHICAGO,IL,60613,44,50,19,1472,Music and Dance,32815,RENEW,,04/15/2016,06/07/2016,N,06/16/2016,06/15/2018,06/07/2016,06/13/2016,AAI,,17,41.949706195,-87.658701413,"(41.94970619451691, -87.65870141348526)"
2245512-20151016,2422276,379653,1,JE'NIA CORPORATION,JE'NIA,3840 W MADISON ST 1,CHICAGO,IL,60624,28,37,11,1050,Public Place of Amusement,2245512,RENEW,,08/15/2015,10/09/2015,N,10/16/2015,10/15/2017,10/26/2015,10/26/2015,AAI,,,41.880877208,-87.722330996,"(41.880877207827346, -87.72233099647727)"
2831427-20220425,2831427,458892,3,FIVE IRON GOLF CHICAGO LLC,Five Iron Golf,1000 W NORTH AVE,CHICAGO,IL,60642,2,20,18,1050,Public Place of Amusement,2831427,ISSUE,02/08/2022,02/08/2022,02/08/2022,Y,04/25/2022,05/15/2024,04/25/2022,04/25/2022,AAI,,,41.910948763,-87.653159551,"(41.910948762561205, -87.65315955127153)"
1383986-20180916,2611600,250547,1,"MUSIC AND DANCE THEATER CHICAGO, INC.",MUSIC AND DANCE THEATER CHICAGO,205 E RANDOLPH ST,CHICAGO,IL,60601,42,44,1,1050,Public Place of Amusement,1383986,RENEW,,07/15/2018,07/27/2018,N,09/16/2018,09/15/2020,07/27/2018,07/30/2018,AAI,,,41.884166968,-87.622113294,"(41.884166968108076, -87.6221132937816)"
2064211-20190216,2637646,12015,2,"BELMONT LOUNGE, INC.",THE PONY INN,1638 W BELMONT AVE 1 & 2,CHICAGO,IL,60657,32,38,19,1050,Public Place of Amusement,2064211,RENEW,,12/15/2018,02/11/2019,N,02/16/2019,07/15/2021,02/11/2019,02/13/2019,AAI,,27,41.939784949,-87.670220318,"(41.939784949082046, -87.67022031784894)"
2522771-20240316,2950315,396028,2,"ADDIVY PROPERTIES, LLC",THE EDGE THEATER / THE EDGE OFF BROADWAY,5451 N BROADWAY,CHICAGO,IL,60640,48,6,20,1050,Public Place of Amusement,2522771,RENEW,,01/15/2024,01/15/2024,N,03/16/2024,03/15/2026,02/16/2024,02/20/2024,AAI,,26,41.981482057,-87.65986305,"(41.98148205666434, -87.65986305008234)"
1869464-20140916,2346172,323266,1,"DICK'S LAST RESORT OF MARINA CITY, LLC",DICK'S LAST RESORT,315 N DEARBORN ST,CHICAGO,IL,60610,42,27,18,1050,Public Place of Amusement,1869464,RENEW,,07/15/2014,09/02/2014,N,09/16/2014,09/15/2016,09/02/2014,09/03/2014,AAI,,,41.887906161,-87.629394699,"(41.88790616130565, -87.629394698683)"
2550184-20200116,2776301,360793,1,LOGAN SQUARE CHAMBER OF ARTS,HAIRPIN ARTS CENTER,2800-2810 N MILWAUKEE AVE 2,CHICAGO,IL,60618,35,17,14,1050,Public Place of Amusement,2550184,RENEW,,03/05/2021,03/12/2021,N,01/16/2020,01/15/2022,03/29/2021,07/09/2021,AAI,,,41.931924344,-87.712381386,"(41.931924343764976, -87.71238138589705)"
2627688-20220316,2829302,366166,1,1941 NORTH AVE INC.,DORIAN'S,1939-1941 W NORTH AVE 1,CHICAGO,IL,60622,1,8,14,1050,Public Place of Amusement,2627688,RENEW,,01/15/2022,05/05/2022,N,03/16/2022,03/15/2024,05/05/2022,05/18/2022,AAI,,33,41.910389745,-87.676658772,"(41.910389744984386, -87.6766587723612)"
2550119-20201016,2746028,85612,9,COLUMBIA COLLEGE CHICAGO,COLUMBIA COLLEGE CHICAGO,1014-1016 S MICHIGAN AVE 1 104,CHICAGO,IL,60605,4,37,1,1050,Public Place of Amusement,2550119,RENEW,,08/15/2020,09/11/2020,N,10/16/2020,10/15/2022,10/21/2020,10/22/2020,AAI,,,41.869613601,-87.624273014,"(41.869613601378546, -87.62427301428181)"
23319-20190316,2642556,9456,1,SCH&T CORPORATION OF ILLINOIS,SHERATON CHICAGO HOTEL & TOWER,301 E NORTH WATER ST,CHICAGO,IL,60611,42,31,18,1050,Public Place of Amusement,23319,RENEW,,01/15/2019,02/25/2019,N,03/16/2019,07/15/2021,03/13/2019,03/14/2019,AAI,,,41.88945828,-87.620368376,"(41.88945828010943, -87.62036837642913)"
2245231-20190416,2648095,10356,2,"CHICAGO WHIRLY, INC.",WHIRLYBALL,1825-1855 W WEBSTER AVE,CHICAGO,IL,60614,32,34,14,1050,Public Place of Amusement,2245231,RENEW,,02/22/2019,03/08/2019,N,04/16/2019,07/15/2021,03/21/2019,03/22/2019,AAI,,,41.921352635,-87.673667189,"(41.9213526351196, -87.6736671888826)"
336-20221216,2873582,58,1,ERMI INC,LATE BAR,3534 W BELMONT AVE,CHICAGO,IL,60618,35,24,17,1472,Music and Dance,336,RENEW,,10/15/2022,12/13/2022,N,12/16/2022,12/15/2024,12/13/2022,12/22/2022,AAI,,,41.939338049,-87.716397185,"(41.93933804928447, -87.71639718488446)"
2487872-20210116,2761427,399988,1,"SOME LIKE IT BLACK CREATIVE ARTS BAR, INC.",Thee Beauty Bar,4259 S COTTAGE GROVE AVE 1 D,CHICAGO,IL,60653,4,7,2,1050,Public Place of Amusement,2487872,RENEW,,11/15/2020,07/12/2021,N,01/16/2021,08/15/2021,,04/11/2022,AAI,,47,41.816871451,-87.606562199,"(41.816871451167565, -87.60656219896904)"
2550838-20200416,2716975,420348,1,O'DADDY WRIGLEY LLC,SMOKE DADDY,3636 N CLARK ST 1 & 2,CHICAGO,IL,60613,44,50,19,1050,Public Place of Amusement,2550838,RENEW,,02/15/2020,05/19/2020,N,04/16/2020,04/15/2022,05/19/2020,05/22/2020,AAI,,17,41.948117852,-87.65742192,"(41.94811785164419, -87.65742192017119)"
2560182-20210916,2798721,86069,9,"THE OLD TOWN SCHOOL OF FOLK MUSIC, INC.",OLD TOWN SCHOOL OF FOLK MUSIC,4543-4551 N LINCOLN AVE,CHICAGO,IL,60625,47,42,19,1050,Public Place of Amusement,2560182,RENEW,,07/15/2021,07/15/2021,N,09/16/2021,09/15/2023,07/15/2021,07/16/2021,AAI,,21,41.964372388,-87.68560705,"(41.964372388216674, -87.68560704977685)"
2609724-20181130,2609724,423876,1,1913 NORTHCO LLC,PARADISE PARK,1913-1917 W NORTH AVE 1,CHICAGO,IL,60622,1,8,14,1050,Public Place of Amusement,2609724,ISSUE,07/13/2018,07/30/2018,10/25/2018,N,11/30/2018,02/15/2021,11/30/2018,11/30/2018,AAI,,33,41.910405669,-87.675586571,"(41.91040566941239, -87.67558657129689)"
2404243-20151102,2404243,386306,1,"TANL, INC.",SAKURA KARAOKE BAR,228-234 W CERMAK RD LL,CHICAGO,IL,60616,11,16,9,1050,Public Place of Amusement,2404243,ISSUE,05/18/2015,07/31/2015,07/31/2015,N,11/02/2015,11/15/2017,11/02/2015,11/02/2015,AAI,,,41.852944837,-87.633224448,"(41.85294483663146, -87.6332244476211)"
2089174-20190916,2680249,299962,4,SUNNY 2000 CORPORATION,LINCOLN KARAOKE,5524-5528 N LINCOLN AVE 1,CHICAGO,IL,60625,40,1,20,1050,Public Place of Amusement,2089174,RENEW,,07/15/2019,08/31/2019,N,09/16/2019,09/15/2021,09/06/2019,09/06/2019,AAI,,,41.981948781,-87.693369207,"(41.98194878070788, -87.69336920708024)"
1093141-20200616,2724702,52343,1,3733 NORTH HALSTED INC.,THE NORTH END,3733 -3735 N HALSTED ST,CHICAGO,IL,60613,46,24,19,1050,Public Place of Amusement,1093141,RENEW,,04/15/2020,06/01/2020,N,06/16/2020,06/15/2022,06/23/2020,06/24/2020,AAI,,8,41.950052664,-87.649428152,"(41.950052664237134, -87.64942815211083)"
1044953-20140416,2310640,203395,2,"Broadway In Chicago, LLC",NEDERLANDER THEATRE,24 W RANDOLPH ST,CHICAGO,IL,60601,42,9,1,1050,Public Place of Amusement,1044953,RENEW,,02/15/2014,03/24/2014,N,04/16/2014,04/15/2016,04/09/2014,04/10/2014,AAI,,1,41.884595744,-87.628795005,"(41.884595743948594, -87.62879500536263)"
2374414-20240216,2946659,379259,2,MASADA OF CHICAGO INC.,SULTAN'S MARKET / MASADA,2204-2206 N CALIFORNIA AVE,CHICAGO,IL,60647,1,10,14,1050,Public Place of Amusement,2374414,RENEW,,12/15/2023,03/06/2024,N,02/16/2024,02/15/2026,03/06/2024,03/07/2024,AAI,,,41.921843481,-87.697472069,"(41.921843480757985, -87.69747206860472)"
2192839-20170116,2500115,376266,1,"HARPER THEATER, LLC",HARPER THEATER,5238 S HARPER AVE 1,CHICAGO,IL,60615,4,47,2,1050,Public Place of Amusement,2192839,RENEW,,11/15/2016,03/20/2017,N,01/16/2017,01/15/2019,03/20/2017,03/21/2017,AAI,,61,41.799782687,-87.589247742,"(41.79978268692154, -87.58924774231797)"
1330114-20191116,2691239,58443,1,"WORLD OF SPORTS ORGANIZATION, L.L.C.",WINDY CITY FIELDHOUSE,2367 W LOGAN BLVD,CHICAGO,IL,60647,32,39,14,1050,Public Place of Amusement,1330114,RENEW,,09/15/2019,10/10/2019,N,11/16/2019,11/15/2021,10/22/2019,11/15/2019,AAI,,,41.928999687,-87.687024336,"(41.928999687056795, -87.68702433592277)"
2233266-20150616,2393412,63417,3,MARTINI BROS INC.,Hush Chicago,311 W CHICAGO AVE 1,CHICAGO,IL,60654,42,15,18,1050,Public Place of Amusement,2233266,RENEW,,04/15/2015,06/05/2015,N,06/16/2015,03/15/2016,06/05/2015,06/05/2015,AAI,,,41.896456858,-87.636181173,"(41.89645685790188, -87.63618117278183)"
44229-20161216,2493847,35373,1,"HUNGRY BRAIN,INC.",HUNGRY BRAIN,2319 W BELMONT AVE 1,CHICAGO,IL,60618,32,42,19,1472,Music and Dance,44229,RENEW,,10/15/2016,12/10/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,,41.939364444,-87.686397637,"(41.939364443955505, -87.68639763702431)"
30014-20160216,2438561,11993,1,"VML, INC.",CUVEE,308 W ERIE ST 1,CHICAGO,IL,60654,42,68,18,1050,Public Place of Amusement,30014,RENEW,,12/15/2015,01/18/2016,N,02/16/2016,02/15/2018,02/11/2016,03/22/2016,AAI,,,41.894072904,-87.636065857,"(41.89407290438245, -87.63606585655697)"
1909919-20171116,2560969,293315,3,"CLUB 2047, LLC - CONCORD MUSIC HALL",CONCORD MUSIC HALL,"2043-2051 N MILWAUKEE AVE 2,3, & BALCONY",CHICAGO,IL,60647,1,20,14,1050,Public Place of Amusement,1909919,RENEW,,10/13/2017,12/29/2017,N,11/16/2017,11/15/2019,12/29/2017,12/29/2017,AAI,,,41.918447569,-87.689825749,"(41.918447569300206, -87.68982574887923)"
2476442-20170310,2476442,407826,1,"BELLA LUNA BAR, INC.",BELLA LUNA BAR,6136 S PULASKI RD LL AND 1,CHICAGO,IL,60629,13,30,8,1050,Public Place of Amusement,2476442,ISSUE,06/28/2016,07/12/2016,07/12/2016,N,03/10/2017,03/15/2019,03/10/2017,03/10/2017,AAI,,3,41.781158073,-87.722977703,"(41.78115807340603, -87.72297770339657)"
2294148-20200716,2731226,386270,1,"DDMB 2, LLC",EMPORIUM LOGAN SQUARE,2363-2365 N MILWAUKEE AVE,CHICAGO,IL,60647,1,10,14,1050,Public Place of Amusement,2294148,RENEW,,05/15/2020,07/16/2020,N,07/16/2020,07/15/2022,05/05/2022,05/06/2022,AAI,,,41.924260821,-87.699331748,"(41.92426082139295, -87.69933174792325)"
1171059-20140916,2342816,15209,2,"1645 W. JACKSON, INC.",PARK TAVERN CHICAGO,"1645 W JACKSON BLVD 1,MEZZ, AND PATIO",CHICAGO,IL,60612,34,10,12,1050,Public Place of Amusement,1171059,RENEW,,07/15/2014,09/12/2014,N,09/16/2014,09/15/2016,07/09/2015,07/15/2015,AAI,,,41.877485535,-87.668521042,"(41.87748553469393, -87.66852104233708)"
2559741-20240116,2942502,421604,1,ROMME HOSPITALITY LLC,PROGRESSBAR,3359 N HALSTED ST 1,CHICAGO,IL,60657,44,33,19,1050,Public Place of Amusement,2559741,RENEW,,11/15/2023,01/08/2024,N,01/16/2024,01/15/2026,01/08/2024,01/09/2024,AAI,,8,41.943573161,-87.649226641,"(41.94357316110511, -87.64922664095873)"
2762647-20230516,2899901,472042,1,CLIQUE CP LLC,VENTEUX,224-230 N MICHIGAN AVE 1,CHICAGO,IL,60601,42,42,1,1050,Public Place of Amusement,2762647,RENEW,,03/15/2023,04/24/2023,N,05/16/2023,05/15/2025,04/28/2023,04/28/2023,AAI,,,41.886374815,-87.624675436,"(41.88637481521078, -87.6246754356595)"
2717930-20210310,2717930,466028,1,"DAVJASFRAN ENTERTAINMENT, LLC.",DREAMERS YOLO!,5419 N LINCOLN AVE 1,CHICAGO,IL,60625,40,20,20,1050,Public Place of Amusement,2717930,ISSUE,02/24/2020,07/21/2020,07/24/2020,N,03/10/2021,03/15/2023,03/10/2021,03/10/2021,AAI,,,41.980088496,-87.692590884,"(41.98008849612399, -87.69259088369422)"
2589942-20191031,2589942,426630,1,"TIME OUT MARKET (CHICAGO), LLC",TIME OUT MARKET,916-926 W FULTON MARKET  1-3,CHICAGO,IL,60607,27,45,12,1050,Public Place of Amusement,2589942,ISSUE,04/10/2018,05/01/2018,05/01/2018,Y,10/31/2019,11/15/2021,10/31/2019,10/31/2019,AAI,,,41.886870839,-87.650501194,"(41.8868708394097, -87.65050119372707)"
2583196-20180928,2583196,409060,1,"BADGER RESTAURANT GROUP, LLC",AURELIO'S PIZZA,3801-3809 N CLARK ST 1,CHICAGO,IL,60613,44,31,19,1050,Public Place of Amusement,2583196,ISSUE,02/20/2018,03/27/2018,03/27/2018,Y,09/28/2018,07/15/2021,09/28/2018,09/28/2018,AAI,,17,41.951175556,-87.659541802,"(41.95117555641557, -87.65954180248546)"
2353895-20161116,2491499,381872,1,EAST ROOM LTD.,EASY DOES IT,2352-2358 N MILWAUKEE AVE 2,CHICAGO,IL,60647,1,10,14,1050,Public Place of Amusement,2353895,RENEW,,09/15/2016,12/21/2016,N,11/16/2016,02/15/2018,12/21/2016,12/21/2016,AAI,,,41.923873095,-87.699162854,"(41.92387309514714, -87.69916285360124)"
2298791-20140723,2298791,386661,1,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,CHICAGO,IL,60607,27,1,12,1050,Public Place of Amusement,2298791,ISSUE,11/27/2013,03/26/2014,03/27/2014,N,07/23/2014,08/15/2016,07/23/2014,07/23/2014,AAI,,,41.883557098,-87.648432396,"(41.883557097965046, -87.64843239611488)"
2104241-20191216,2696883,363979,1,6122 CLARK LLC,CHICAGO FUTSAL ACADEMY,6122 N CLARK ST,CHICAGO,IL,60660,40,27,24,1050,Public Place of Amusement,2104241,RENEW,,10/15/2019,12/10/2019,N,12/16/2019,12/15/2021,12/12/2019,12/13/2019,AAI,,,41.993304187,-87.67026687,"(41.99330418707169, -87.67026687020775)"
2147268-20140716,2330427,256742,3,"AUDITORIUM THEATRE OF ROOSEVELT UNIVERSITY, INC.",AUDITORIUM THEATRE'S KATTEN/LANDAU STUDIO,425 S WABASH AVE 4TH 413,CHICAGO,IL,60605,34,49,1,1050,Public Place of Amusement,2147268,RENEW,,05/15/2014,05/28/2014,N,07/16/2014,10/15/2016,06/09/2014,06/10/2014,AAI,,,41.876355243,-87.625895504,"(41.876355243416114, -87.62589550409555)"
2492322-20190216,2638793,299629,2,CHICAGO CHILDREN'S THEATRE,CHICAGO CHILDREN'S THEATRE,100-106 S RACINE AVE 1-2,CHICAGO,IL,60607,27,2,12,1050,Public Place of Amusement,2492322,RENEW,,12/15/2018,01/25/2019,N,02/16/2019,02/15/2021,10/15/2020,10/15/2020,AAI,,,41.880263454,-87.657244494,"(41.880263454464036, -87.65724449419724)"
2341540-20231016,2927055,391703,1,STK CHICAGO LLC,STK CHICAGO,9 W KINZIE ST 1ST,CHICAGO,IL,60654,42,27,18,1050,Public Place of Amusement,2341540,RENEW,,08/15/2023,09/29/2023,N,10/16/2023,10/15/2025,10/05/2023,10/06/2023,AAI,,,41.889137271,-87.62843006,"(41.88913727056584, -87.62843005984261)"
